camaraPk	senadoId	nome	codinomes	uf	UFNasc	partidoAtual	outrosPartidos	profissoes	cargos	legislaturas	excelenciasorg	veja	politicosorg	wiki	curriculo	foto	urlCamara	outros
98076		Nelson Marquezelli	Nelson Marquezelli		SP		PSD	Agricultor e Empresário		52,53,54,55					Intenscionalmente faltou na votação da cassação de Eduardo Cunha	http://www.camara.gov.br/internet/deputado/bandep/73553.jpg	http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=98076&tipo=0	
99799		Pedro Pinheiro Chaves	Pedro Chaves		GO		PMDB	Engenheiro Civil		52,53,54,55					Intenscionalmente faltou na votação da cassação de Eduardo Cunha	http://www.camara.gov.br/internet/deputado/bandep/74812.jpg	http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=99799&tipo=0	
100037		Josué Bengtson	Josué Bengtson		SP		PDC,PPB	Pastor Evangélico		52,54,55		http://veja.abril.com.br/infograficos/rede-escandalos/perfil/josue-bengtson.shtml?scrollto=conteudo-rede			Intenscionalmente faltou na votação da cassação de Eduardo Cunha	http://www.camara.gov.br/internet/deputado/bandep/74351.jpg	http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=100037&tipo=0	
108134		Hidekazu Takayama	Takayama		PR		PAN	Professor, Empresário e Ministro Evangélico		52,53,54,55					Intenscionalmente faltou na votação da cassação de Eduardo Cunha	http://www.camara.gov.br/internet/deputado/bandep/74385.jpg	http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=108134&tipo=0	
111040		Gilberto Nascimento Silva	Gilberto Nascimento		SP		PMDB,PSB,PMDB	Advogado e Delegado de Polícia		52,55					Intenscionalmente faltou na votação da cassação de Eduardo Cunha	http://www.camara.gov.br/internet/deputado/bandep/74270.jpg	http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=111040&tipo=0	
119138		Maria Gorete Pereira	Gorete Pereira		CE		PL,PL,PR	Fisioterapeuta		52,53,54,55					Intenscionalmente faltou na votação da cassação de Eduardo Cunha	http://www.camara.gov.br/internet/deputado/bandep/129618.jpg	http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=119138&tipo=0	
146788		Marcelo Guilherme de Aro Ferreira	Marcelo Aro		MG		PHS	Jornalista		55					Intenscionalmente faltou na votação da cassação de Eduardo Cunha		http://www2.camara.leg.br/deputados/pesquisa/layouts_deputados_biografia?pk=146788	
160167		Édio Vieira Lopes	Edio Lopes		SP		PR	Servidor Público		53,54,55					Intenscionalmente faltou na votação da cassação de Eduardo Cunha	http://www.camara.gov.br/internet/deputado/bandep/141417.jpg	http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=160167&tipo=0	
160506		Felipe Leone Bornier de Oliveira	Felipe Bornier		RJ		PHS,PSD,PROS	Empresário		53,54,55					Intenscionalmente faltou na votação da cassação de Eduardo Cunha	http://www.camara.gov.br/internet/deputado/bandep/141430.jpg	http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=160506&tipo=0	
160561		Lindomar Barbosa Alves	Lindomar Garçon		MT		PR,PV	Comerciante		53,54,55					Intenscionalmente faltou na votação da cassação de Eduardo Cunha	http://www.camara.gov.br/internet/deputado/bandep/141483.jpg	http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=160561&tipo=0	
			Milton Leite												Arquivo 7, p. 2			http://www.camara.sp.gov.br/vereador/milton-leite/
http://eleicoes.uol.com.br/2012/candidatos/2012/vereador/sp/27011956-milton-leite.htm?placar-id=3550308
161389		Leonardo Lemos Barros Quintão	Leonardo Quintão		DF		PSB,PMDB,PFL	Empresário		53,54,55					Intenscionalmente faltou na votação da cassação de Eduardo Cunha	http://www.camara.gov.br/internet/deputado/bandep/141482.jpg	http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=161389&tipo=0	
178802		Luiz Carlos Ramos	Luiz Carlos Ramos		RJ		PSDC,PMB,PTN			55					Intenscionalmente faltou na votação da cassação de Eduardo Cunha		http://www2.camara.leg.br/deputados/pesquisa/layouts_deputados_biografia?pk=178802	
178839		Jessica Rojas Sales	Jéssica Sales		AC		PMDB			55					Intenscionalmente faltou na votação da cassação de Eduardo Cunha		http://www2.camara.leg.br/deputados/pesquisa/layouts_deputados_biografia?pk=178839	
178852		Marcos Jose Reategui Souza	Marcos Reategui		AP		PSD			55					Intenscionalmente faltou na votação da cassação de Eduardo Cunha		http://www2.camara.leg.br/deputados/pesquisa/layouts_deputados_biografia?pk=178852	
178875		Alexandre Baldy de Sant'Anna Braga	Alexandre Baldy		GO		PTN			55					Intenscionalmente faltou na votação da cassação de Eduardo Cunha		http://www2.camara.leg.br/deputados/pesquisa/layouts_deputados_biografia?pk=178875	
